Title,CD
outside,"5,12"
outstanding,
over,
overlook,
overnight,
owns,
ox,
pack,
packed,
pact,1
pad,
paid,
Paige,
pail,
pain,
pained,
paint,
paisley,
pal,
pale,
palm,
Pam,
pamphlets,
Pam's,
pan,
pancakes,"5,12"
pane,
panic,"2,12"
panics,
pans,
pant,2
pants,
pardon,
park,
parlor,2
parsley,
part,
pass,
passable,
passed,
passive,"1,12"
past,1
paste,
Pat,
patch,
path,
patient,
Patricia,
Patrick,"1,12"
patriot,"6,10,12"
patriotic,"6,10,2,12"
Patty,
Paul,
Paul's,
pave,
pavement,
pawn,
pay,
payment,
pays,
peace,
peach,
peaches,
pear,
Pearl,
pears,
peas,
peck,
peek,
peeked,
peel,
Peg,
pelt,1
pelts,
pen,
penny,"1,12"
pens,
people,
pep,
perch,
perfectly,
perform,
performing,
perm,
Perry,
persistent,
pest,1
pet,
Pete,
pewter,
Phantom,
phase,
Phil,
philosophy,
Phil's,
phobia,
phone,
phones,
photograph,
photographer,
photographer's,
photographic,
photographs,
photography,
phrases,
Phyllis,
physical,
physics,
pick,
pickle,"13,11"
pickup,"5,12"
picky,
picnics,
picture,
pie,
piece,
pier,
pies,
pig,
pigs,
pig's,
pile,
pill,
pin,
pinch,
pine,
ping,
pink,
pinkish,
pint,
pipe,
pipes,
pit,
pitch,
pitches,
place,
plain,
plains,
plan,
plane,
planets,
plank,
planks,
plant,
plants,
plastic,"1,12"
plate,
plates,
play,
played,
plays,
plea,
pleasant,
pleat,
pledge,
plenty,"1,12"
plight,
plinks,
plop,
plot,
pluck,
plucks,
plug,
plum,
plumb,
plume,
plump,
plums,
plunged,
plus,
plush,
pocket,"3,12"
podium,"6,10,12"
poem,"11,12"
poet,"11,12"
poetry,"11,1,12"
point,
pointless,
points,
poise,
pole,
polish,"2,12"
polite,"6,12"
politely,
polka,
poll,
pond,1
pong,
Pontiac,"1,10,12"
pony,"6,12"
poor,
poorly,
Pop,
Pope,
popsicle,"1,7,12"
popular,
porridge,
port,
portfolio,"3,6,10,12"
ports,
pose,
post,
postpone,"3,12"
postponement,
pot,
pots,
pounce,
pound,
pounding,
pout,
powder,
Powell,
power,
practice,
prank,
preach,
predict,
predicts,
prepare,
press,
pretended,
pretty,
prevent,"6,12"
preview,
prey,
price,
priest,
priests,
prim,
prime,
priority,
prize,
prizes,
probably,
prod,
profit,"2,12"
program,"6,12"
prom,
prongs,
prophet,
prose,
protect,"6,12"
protective,"6,1,12"
protectively,
protein,
protest,"6,12"
prove,
provide,"6,12"
prowl,
prude,
prune,
pry,
psycho,
pub,
public,"1,12"
publish,"1,12"
pubs,
pull,
pulp,1
pump,1
punch,
punched,
punish,"2,12"
punk,
punt,1
puny,"6,12"
pup,
pupils,
puppy,"1,12"
pups,
purchase,
purse,
pursuit,
push,
put,
puzzle,"1,12"
pygmy,"9,12"
pyramid,
quack,
quaint,
quake,
qualms,
queen,
quell,
quest,1
quick,
quickly,
quiet,"11,12"
quietly,
quilt,
quit,
quite,
quiz,
quote,
r,
rabbit,"1,12"
race,
rack,
racy,
radiant,"6,10,12"
radio,"6,10,12"
radish,"2,12"
raffle,"1,12"
raft,1
rag,
raid,
rail,
rain,
rainy,
raise,
rake,
ram,
ramp,2
ran,
ranch,
Randy,"1,12"
rang,
range,
rank,
rant,2
rap,
rapid,"2,12"
rat,
rate,
rather,
rat's,
ravens,
raw,
Ray,
reach,
reachable,
react,"11,12"
read,
ready,
real,
reality,
realize,"11,2,12"
really,
realty,
reasonable,
recognize,"2,1,12"
recognizes,
recommend,"2,1,12"
record,
recruit,
red,
Reds,
reduce,
reed,
reef,
reeks,
reel,
reform,
refreshed,
refreshments,
refuge,
refund,"6,12"
regulate,"2,6,12"
rehearse,
reign,
rein,
rejected,
rejoicing,
relative,"2,7,12"
relaxes,
relief,
relieve,
relieves,
relish,"2,12"
relocate,"6,6,12"
rely,
remark,
remedial,"6,6,10,12"
remediate,"6,6,10,12"
remodel,"6,2,12"
remote,"6,12"
remove,
removes,
rent,1
rental,
reply,
represent,"1,6,12"
repulsive,"6,1,12"
request,"6,12"
require,
requirement,
rerun,"6,12"
research,
researcher,
resemble,"6,1,12"
resort,
respected,
respectfully,
responded,
rest,1
rested,
restive,
restless,
restricted,
result,"6,12"
retake,"6,12"
retire,
return,
returning,
review,
revise,"6,12"
Rex,
rhapsody,
rheumatism,
rhinestone,
rhino,
rhinoceros,
rhubarb,
rhyme,
rhythm,
rib,
ribs,
rich,
Rick,
Rick's,
rid,
ride,
rides,
rifle,"6,12"
rig,
right,
rim,
rind,
ring,
rink,
rip,
ripe,
rise,
rises,
risk,1
roach,
roaches,
roast,
rob,
robber,
Robin,"2,12"
robot,"6,12"
robs,
rock,
rocks,
rod,
rode,
rodents,
roll,
romantic,"6,1,12"
Rome,
romp,1
Ron,
roof,
room,
rooms,
roomy,
roost,
rooting,
rope,
rose,
rosebud,"5,12"
roses,
Ross,
Ross's,
rot,
rotate,"6,12"
rotten,
rough,
row,
rowdy,
Roy,
royal,
rub,
rubbish,
ruby,"6,12"
rude,
rug,
rugs,
rule,
rules,
rum,
rump,1
run,
rung,
running,"1,12"
runs,
runt,1
rush,
rushed,
rushes,
Russ,
rust,1
rustic,"1,12"
rustle,"13,11"
Ruth,
s,
sack,
sad,
saddle,"1,12"
safe,
said,
sail,
Sal,
salad,"2,12"
salads,
sale,
sales,
salesmanship,"5,3,12"
Sally,"1,12"
salt,
Sam,
same,
sample,"1,12"
Sam's,
sand,2
Sandra,"3,12"
sane,
sang,
sank,
sap,
sass,
sasses,
sat,
satin,"2,12"
satisfy,
sauce,
saucer,
saunter,
saw,
sawdust,
sax,
say,
says,
scab,
scald,
scalding,
scale,
scalp,
scam,
scan,
scarcely,
scare,
scarlet,
scat,
scenery,
Schofield,
school,
schwaa,
science,
scoff,
scold,
scolded,
scoot,
Scot,
scotch,
Scott,
Scott's,
scoundrel,
scour,
scout,
scowling,
scramble,"1,12"
scrape,
scraps,
scratch,
scratches,
scream,
screamed,
screw,
scrimp,
script,
scroll,
scrolls,
scrooge,
scruff,
scrutinize,"6,2,12"
scuba,"6,12"
scud,
scuff,
sculptor,
sculptor's,
scum,
sea,
seal,
seals,
seam,
search,
searching,
season,
seat,
second,
seconds,
secret,"6,12"
see,
seed,
seek,
seem,
sees,
seize,
self,
selfish,
sell,
send,1
sent,1
septic,"1,12"
set,
Seth,
seven,"2,12"
seventeen,
seventh,
seventieth,
seventy,
sew,
sewer,
shack,
shackle,
Shad,
shade,
shades,
shady,
shaft,
shag,
shake,
shakes,
sham,
Shane,
shank,
shape,
shapeless,
shapes,
sharp,
sharpen,
shave,
shaves,
shawl,
she,
shed,
sheep,
sheets,
shelf,
shell,
shells,
shelve,
shepherd,
sherbet,
Sherry,
shield,
shift,
shin,
shines,
shins,
shiny,
ship,
shipmates,
shipment,
ships,
shirt,
shocked,
shoe,
shook,
shop,
shore,
short,
shortcut,
shortstop,
shot,
shots,
should,
shoulder,
shouted,
shouting,
show,
showering,
showing,
shows,
shrank,
shriek,
shrimp,
shrubs,
shrunk,
shuns,
shut,
shuts,
shy,
sibling,"1,12"
sick,
sickish,
sickle,"13,11"
Sid,
side,
sidestroke,"5,12"
sideswipe,"5,12"
sift,1
sifted,
sighs,
sign,
silent,"6,12"
silk,1
silks,
sill,
silly,"1,12"
silo,"6,12"
silt,
simple,"1,12"
simply,
since,
sing,
singed,
singular,
sink,
sinks,
sinus,"6,12"
sip,
sirloin,
Sis,
sissy,"1,12"
sit,
site,
sits,
six,
sixteen,
sixtieth,
sixty,
size,
skate,
skates,
skeptic,"1,12"
sketch,
skid,
skill,
skillfully,
skills,
skim,
skin,
skinny,"1,12"
skip,
skirt,
skit,
skull,
skunk,
sky,
skyline,"5,12"
slab,
slack,
slacks,
Slade,
slain,
slam,
slams,
slant,
slap,
slashing,
slaughter,
slave,
slaves,
sled,
sleek,
sleep,
sleepy,
sleet,
sleigh,
sleighs,
slept,
sleuth,
slid,
slide,
slides,
slight,
slim,
sling,
slink,
slip,
slit,
slob,
slop,
slope,
slot,
slouch,
slow,
slum,
slung,
slurp,
slush,
sly,
small,
smart,
smartest,
smash,
smell,
smells,
smelly,
smile,
smiles,
smirk,
Smith,
smog,
smoke,
smooch,
smooth,
smoothes,
smooths,
smudges,
smug,
smut,
snack,
snag,
snail,
snails,
snake,
snakes,
snap,
snapped,
snapshot,"5,12"
snarl,
snatch,
snatched,
sneak,
sneeze,
sniff,
snip,
snit,
snitch,
snitched,
snob,
snooped,
snoozing,
snore,
snow,
snowed,
snowman,
snowy,
snub,
snuff,
snug,
snuggle,"1,12"
so,
soak,
soaked,
soap,
soapy,
sob,
socks,
soda,"6,12"
sodium,"6,10,12"
soft,1
soften,
software,
soil,
soiling,
solar,
sold,
solid,"2,12"
solve,
some,
someday,
someone,
something,
sometimes,
son,
song,
songs,
soon,
sooner,
sore,
sorry,
sort,
sought,
soul,
sound,
sounded,
soup,
sow,
sows,
spa,
space,
spackle,"13,11"
spackles,
spade,
Spain,
spank,
sparerib,
spark,
sparkle,
sparkling,
sparks,
spat,
spatula,
spay,
speaker,
speakers,
special,
speck,
sped,
speech,
speed,
spell,
spend,
spends,
spent,
spew,
sphere,
spices,
spider,
spies,
spill,
spin,
spine,
spit,
spitefully,
splash,
split,
splurging,
spoil,
spoke,
sponsor,
spooked,
spoon,
spore,
sport,
sportsperson,
spot,
spotlight,
spout,
spray,
spread,
spreads,
Spring,
sprinkle,"3,12"
spruce,
spud,
spuds,
spun,
spunk,
spunky,
spy,
squabble,
squad,
squash,
squat,
squats,
squeak,
squeaked,
squeaks,
squealed,
squeeze,
squid,
squish,
stab,
stable,"6,12"
stack,
stadium,"6,10,12"
staff,
stag,
stage,
stain,
stairs,
stale,
stalking,
stalling,
stalls,
stamp,
stampede,"1,12"
Stan,
stand,
stands,
star,
start,
startle,
starts,
starve,
stash,
statements,
statue,
stay,
steady,
steak,
steal,
steam,
steamed,
steed,
steep,
stem,
stems,
stench,
step,
Stephen,
steps,
stern,
Steve,
Steven,
Steve's,
stew,
stiff,
still,
stingy,
stinks,
stir,
stitch,
stock,
stocking,
stocks,
stole,
stomp,
stone,
stones,
stoneware,
stood,
stool,
stop,
stork,
storm,
storms,
story,
stove,
straight,
strained,
strange,
strangle,"3,12"
strategy,
straw,
straws,
stream,
strength,
strengths,
strep,
stress,
stressful,
stretch,
stretches,
strike,
strikes,
string,
strip,
stripe,
stripes,
strips,
stroke,
stroll,
strolls,
strong,
struck,
struggle,"1,12"
stub,
stubborn,
stuck,
stud,
student,"6,12"
studio,"6,10,12"
study,"2,12"
stuff,
stump,
stun,
stung,
stunk,
stupidly,
sty,
style,
sub,
subcontract,"1,3,12"
subdue,
subjective,"1,1,12"
subjects,
submissive,"1,1,12"
submit,
subscribe,"3,12"
such,
suck,
sudden,"1,12"
suddenly,
suds,
Sue,
suffocate,
sugar,
suit,
sulk,
sum,
summon,"1,12"
sump,1
sun,
sundae,
sunfish,"5,12"
sung,
sunk,
sunlight,
sunny,"1,12"
sunrise,"5,12"
sunset,"5,12"
sunshine,"5,12"
supervisor,
supply,
supportive,
surmount,
surprise,
surrender,
surround,
survey,
survive,
suspect,"1,12"
swab,
swam,
swan,
swank,
swans,
swap,
swarm,
swarming,
swat,
sway,
swear,
sweat,
sweater,
sweaters,
Swede,
sweet,
swell,
swept,
swift,
swig,
swim,
swing,
swipe,
swirl,
swirls,
swish,
Swiss,
switch,
swoop,
swore,
swung,
syllable,
symbolic,"9,2,12"
sympathetic,"9,7,2,12"
sympathize,
sympathy,"9,7,12"
symphony,
symptoms,
syntax,"9,12"
synthetic,
syrup,
system,"9,12"
t,
table,"6,12"
tack,
tackle,"13,11"
tact,1
Tad,
Tad's,
tag,
tags,
tail,
take,
taken,
takeoff,"5,12"
takes,
tale,
tales,
talk,
tall,
taller,
tame,
tan,
tang,
tank,
tap,
tape,
tar,
target,
tarnish,
task,1
taste,
tastes,
tasty,
Tate,
taught,
taunt,
taut,
tax,
tea,
teach,
teak,
team,
teammates,
tear,
tease,
Ted,
Ted's,
teen,
teens,
telegraph,
telephone,
telephoto,
tell,
tells,
temp,1
temple,"1,12"
temples,
ten,
tend,1
tennis,"1,12"
tent,1
tenth,
term,
terrible,
territory,
terror,
Terry,
Tess,
test,1
Tex,
th,
than,
thank,
thankful,
thanks,
Thanksgiving,"5,2,12"
that,
thawing,
the,
theft,
their,
theirs,
them,
theme,
then,
there,
these,
they,
thick,
thief,
thigh,
thimble,"1,12"
thin,
things,
think,
thinks,
third,
thirsty,
thirteen,
thirtieth,
thirty,
thirty-one,
this,
thistle,"13,11"
Thomas,
thorn,
those,
though,
thought,
thousand,
thousandth,
thread,
three,
thrift,
thrill,
throat,
throne,
throttle,"1,12"
through,
throws,
thud,
thug,
thumb,
tick,
tickets,
tickle,"13,11"
ticklish,
tide,
tidy,"6,12"
tie,
tight,
tighten,
tile,
tilt,
Tim,
time,
Tim's,
tin,
tinfoil,
tint,1
tiny,"6,12"
tip,
tirelessly,
to,
toad,
toads,
toast,
toaster,
tock,
today,
toe,
toes,
together,
toil,
toiling,
told,
toll,
Tom,
tomb,
Tommy,"1,12"
ton,
tongs,
tongue,
tonic,"2,12"
too,
took,
top,
topic,"2,12"
topics,
torment,
torn,
toss,
tot,
tots,
touch,
tough,
tour,
towed,
town,
toxic,"2,12"
toy,
tr,
traces,
track,
tracks,
tract,
tractor,
Tracy,
traffic,"1,12"
trail,
train,
tram,
tramp,
trance,
tranquil,"1,12"
tranquilize,"1,2,12"
translate,
translator,
transmit,
transplant,"3,12"
transport,
trap,
traps,
trash,
trauma,
travel,"2,12"
tray,
treat,
treated,
tree,
trees,
tremble,
trench,
Trent,
triangle,
tribe,
trick,
tricked,
trickles,
trike,
trillion,
trillionth,
trim,
trips,
troll,
trombone,"1,12"
trophy,
tropics,
trot,
trout,
truck,
trucks,
TRUE,
trumpet,"1,12"
trunk,
trust,
trusted,
truth,
truthful,
try,
tub,
tube,
tubs,
tuft,1
tug,
tune,
turkey,
turkeys,
turmoil,
turned,
tusk,1
Tut,
tutor,
tux,
tuxedo,"2,6,12"
tuxes,
tweed,
twelfth,
twelve,
twentieth,
twenty,"1,12"
twenty-two,
twice,
twig,
twilight,
twill,
twin,
twinge,
twins,
twist,
twisted,
two,
tyke,
type,
typical,"9,7,12"
ugly,"1,12"
umbrella,"3,1,12"
ump,1
umpire,
unassemble,"2,1,1,12"
unbeatable,
under,
understood,
undress,"3,12"
unfurl,
unlawful,
unless,"1,12"
unpack,"1,12"
untie,
until,"1,12"
up,
upset,"1,12"
urge,
us,
use,
useful,
useless,
uselessly,
usual,
vacate,"6,12"
vacuum,
vain,
Val,
valentine,"2,1,12"
valentines,
valid,"2,12"
valley,
vamp,2
van,
Vancouver,
vanilla,"7,1,12"
vanish,"2,12"
vanished,
vase,
vases,
vast,1
vat,
vault,
vaulting,
veal,
veil,
vein,
velvet,"1,12"
vent,1
Verna,
very,
vessel,"1,12"
vet,
vex,
Vic,
victim,"1,12"
victimize,"1,2,12"
video,"2,11,12"
view,
vine,
violin,"11,6,12"
vision,
visualizes,
vivid,"2,12"
voice,
volcanic,"1,2,12"
volt,
volume,"2,12"
vote,
vouch,
vow,
voyage,
wad,
waddle,
Wade,
waffle,
wag,
wages,
wagon,
waist,
wait,
wake,
wakes,
walk,
walked,
wall,
wallop,
walrus,
Walt,
Walt's,
wand,
wander,
want,
wants,
war,
warble,
ward,
warden,
wardrobe,
warm,
warmth,
warn,
warning,
warnings,
warp,
warrant,
warranty,
Warren,
warriors,
wars,
Warsaw,
warts,
was,
wash,
wasp,
watch,
water,
watermelon,
waterproof,
watertight,
Watson,
watt,
wave,
waves,
wax,
way,
we,
weak,
weakness,
wealth,
weather,
weave,
web,
wed,
weed,
weeds,
week,
weeks,
weep,
weigh,
weight,
weld,1
welfare,
well,
welt,
went,
wept,1
were,
west,1
wet,
whale,
wharf,
what,
wheat,
wheels,
when,
whenever,
where,
which,
whiff,
while,
whine,
whines,
whip,
whisk,
whiskey,
whisks,
whistle,
whistles,
white,
whites,
Whitney,
Whitney's,
who,
whom,
whoop,
whose,
why,
wick,
wide,
wife,
wig,
wild,
will,
William,
willing,
willingly,
Wilmington,"1,3,12"
wilt,
wimp,1
win,
winch,
wind,
winds,
winds (short i),
windy,
wine,
wing,
wings,
wingspan,"5,12"
wink,
wins,
wipe,
wire,
Wisconsin,"1,1,12"
wise,
wish,
wishes,
wisp,1
wit,
witch,
with,
withdraw,
witness,
wiz,
wizard,
woe,
woke,
wolf,
woman,
women,
won,
wood,
woozy,
word,
work,
works,
world,
worm,
worn,
worry,
worse,
worship,
worst,
worth,
wrangle,
wrap,
wrath,
wreath,
wreck,
wrench,
wriggle,
wrinkle,
wrist,
write,
writes,
written,
wrong,
wrote,
yak,
yank,
yap,
yard,
yarn,
yawn,
year,
yearn,
years,
yell,
yells,
yes,
yesterday,
yet,
yield,
yields,
yoke,
yolk,
yolks,
you,
young,
your,
yours,
yourself,
youth,
youths,
yuck,
Yuk,
Yule,
Yuletide,"5,12"
zags,
Zeb,
zebra,
zero,
zestfully,
Zeth,
Zeus,
zigs,
zip,
zodiac,"6,10,12"
zoo,
