Wave1,Corrections,ru,de,es,fr
_sltwp6,"Last time ""we"" practiced ""6"" sounds.",,,,
_sltwp8,"Last time ""we"" practiced ""8"" sounds.",,,,
_sltwpa,"Last time ""we"" practiced a vowel sound.",,,,
_sltwp,"Last time ""we"" practiced...",,,,
_sltypc2,"Last time you practiced closed-syllable ""4""-sound words with blends.",,,,
_sltypc,"Last time you practiced closed-syllable, ""3""-letter, 3-sound words.",,,,
_sltyps,Last time you practiced several words.,,,,
_lless,less (the letters),,,,
_slbsnw8,let's build some new words,,,,
_slbsnw1,let's build some new words using all the final blends you have practiced.,,,,
_slbsnw2,let's build some new words using five new blends.,,,,
_slbsnw7,let's build some new words using four new blends.,,,,
_slbsnw4,let's build some new words using seven new blends.,,,,
_slbsnw5,let's build some new words using six new blends.,,,,
_slbsnw9,let's build some new words using these new blends.,,,,
_slbsnw,let's build some new words.,,,,
_slbsnw6,let's build some words using all the final blends you have practiced.,,,,
_sltacp,let's do a crossword puzzle.,,,,
_slhwyh,let's hear what you have recorded.,,,,
_sllasw,let's learn about sight words.,,,,
_slrysw,let's look at your sight word notebook and review the sight words you already know.,,,,
_slrsc,let's review some consonants.,,,,
_slrtst,let's review the sounds that you already know.,,,,
_slrwya,let's review what you already know.,,,,
_slette,"letter ""e"" jumps over the consonant",,,,
_sliste,Listen carefully.,,,,
_slttcs,"Listen to the computer'""s"" sound and compare it with yours.",,,,
_slttfs,Listen to the first sound in the word.,,,,
_slttls3,Listen to the last sound in the first syllable of this word.,,,,
_slttls4,Listen to the last sound in the in this word or nonsense word.,,,,
_slttls5,Listen to the last sound in the second syllable of this word.,,,,
_slttss6,Listen to the second sound in the word.,,,,
_sstent1,Listen to the sound and compare it with yours.,,,,
_slttsi,Listen to the sound I say.,,,,
_slttst2,Listen to the sound that you hear at the end of the word.,,,,
_slttst1,Listen to the sound that you hear in the middle of the word.,,,,
_slttvi,Listen to the vowel in the word I say.,,,,
_slttvs,Listen to the vowel sound in the first syllable of this word or nonsense word.,,,,
_slttvs1,Listen to the vowel sound in the first syllable of this word.,,,,
_slttvs2,Listen to the vowel sound in the second syllable of this word.,,,,
_slttvs3,Listen to the vowel sound in this word or nonsense word.,,,,
_slttwi1,"Listen to the word ""in"". (Tap your hand against the table when you hear the word).",,,,
_slttwf,Listen to the word fill.,,,,
_slttwi,Listen to the word I say.,,,,
_slttwo,Listen to the word or nonsense word.,,,,
_slttw,Listen to the word.,,,,
_slttw1,Listen to the word...,,,,
_sltwyh,Listen to what you have recorded.,,,,
_slvs,long vowel sounds,,,,
_slvt,long vowel teams,,,,
_slatloy,Look at the letters on your screen.,,,,
_slatw1,Look at the word,,,,
_slatwo1,Look at the word fill.,,,,
_slattw,Look at the word on your screen.,,,,
_slatw,Look at the word...,,,,
_slattw1,Look at the words in Column A.,,,,
_slatwo,Look at the words on your screen.,,,,
_slaycd1,Look at your card deck and find the card for these letters.,,,,
_slaycd,Look at your card deck and find the card for this letter.,,,,
_sasmt6,man (pause) man,,,,
_smotwc,"Many of these words can ""be"" blended using the skills you have already learned.",,,,
_smswdn,"Many sight words do not follow any of the word building rules ""we"" will practice in each lesson.",,,,
_lmb,"""mb"" (the letters)",,,,
_smrcw,"more ""r""-control words (In this lesson you will practice...)...",,,,
_smores,more syllables.,,,,
_smvt,more vowel teams.,,,,
_smotti,"Most of the time, it is quite helpful if you find the root word first and then add the suffix.",,,,
_smwcbc,"Most words can ""be"" changed to plural form by adding ""an"" ""s"" to the word.",,,,
_smwtha,"Most words that have a short vowel, and end with the ""k"" sound, are spelled ""ck"".",,,,
_lness,ness (the letters),,,,
_snc,new consonants.,,,,
_lng,"""ng"" (the letters)",,,,
_snn1,"nineteen, nineteenth",,,,
_lnk,"""nk"" (the letters)",,,,
_snk,"""nk"" (the sounds)",,,,
_snwewa,"""No"" words end with a soft ""g"" at the end.",,,,
_snonse,Nonsense words are not real words.,,,,
_sntnew,"Note that numbers ending with one, two or three, do not end with the letters ""th"" when referring to what or which.",,,,
_snttla,"Notice that the letters ""augh"" make one sound - /""aw""/.",,,,
_snttso,"Notice that the sound of ""x"" is at the end of the keyword.",,,,
_snotic,"Notice that the unaccented a is considered ""an"" open syllable.",,,,
_snftf,Now for the fun part.,,,,
_sniwst,Now I will say the word again.,,,,
_snowiw,Now I will say the word or nonsense word again.,,,,
_snlpan,Now let's practice a new vowel sound.,,,,
_snlprs2,Now let's practice reading some new words.,,,,
_snlprs,Now let's practice reading some real words and nonsense words.,,,,
_snlpsn,Now let's practice some new consonant sounds.,,,,
_snlrav,Now let's review a vowel.,,,,
_snltew,Now listen to each word.,,,,
_snltms1,"Now listen to ""my"" sounds and hear if yours sounded the same.",,,,
_snltms,"Now listen to ""my"" sounds and keywords again, and hear if yours sounded the same.",,,,
_snowli,"Now listen to the word into. (Again, tap your hand).",,,,
_snlyct,Now locate your card that makes this sound.,,,,
_snwt,Now watch this.,,,,
_snwwb,"Now ""we"" will build some new words with five sounds.",,,,
_swwew1l,"Now ""we"" will do the same thing using the new consonant sounds we have already practiced, and the new vowel sound we have practiced in this lesson",,,,
_swwewil,"Now ""we"" will do the same thing using the new consonant sounds we have practiced in this lesson.",,,,
_snwwfs1,"Now ""we"" will form some closed syllable words.",,,,
_snwwpc,"Now ""we"" will practice common exceptions to the doubling rule.",,,,
_snowyo,Now you can review some of the sight words from previous lessons.,,,,
_snyrtl,"Now you record the letter, keyword and it'""s"" sound.",,,,
_snys1,Now you say... (word),,,,
_snyttm,"Now you try to make the ""a"" sound.",,,,
_snywpa,Now you will practice a vowel sound.,,,,
_snlprs1,"Now, let's practice reading some new words.",,,,
_snlpss,"Now, let's practice some sounds.",,,,
_snlrnt,"Now, let's review numbers that end in two or more zeros.",,,,
_lnt,"""nt"" (the letters)",,,,
_lny,"""ny"" (the netters)",,,,
_lto,"""o4"" (tented ""o"" - the letter)",,,,
_lo,"""o4"" (tented O - the letter)",,,,
_so4,"""o4"" (tented O - the sound)",,,,
_loa,"""oa"" (the letters)",,,,
_soa,"""oa"" (the sounds)",,,,
_loe,"""oe"" (the letters)",,,,
_soe,"""oe"" (the sounds)",,,,
_loi,"""oi"" (the letters)",,,,
_soi,"""oi"" (the sounds)",,,,
_sasmt5,"OK, let's practice one time:",,,,
_sasmt9,"OK, now let's do a lot of words",,,,
_lold,old (the letters),,,,
_sold,old (the sounds),,,,
_loll,"""oll"" (the letters)",,,,
_soll,"""oll"" (the sounds)",,,,
_lolst,"""olst"" (the letters)",,,,
_solst,"""olst"" (the sounds)",,,,
_lolt,"""olt"" (the letters)",,,,
_solt,"""olt"" (the sounds)",,,,
_soawwf,"Once again ""we"" will form closed syllable words.",,,,
_soawwf1,"Once again ""we"" will form closed syllables with four sounds.",,,,
_soawwf2,"Once again ""we"" will form closed syllables with three sounds.",,,,
_soatin,"Once again, there is ""no"" set rule to tell when the letter ""“i”"" makes the sound of long “e”.",,,,
_sodcit,"One ""d"" closes in the ""a"", making the ""a"" sound short.",,,,
_sosiav,"One syllable is a ""vce"" syllable.",,,,
_soof,"one, once, first",,,,
_long,"""ong"" (the letters)",,,,
_song,"""ong"" (the sounds)",,,,
_lonk,"""onk"" (the letters)",,,,
_sonk,"""onk"" (the sounds)",,,,
_loo,"""oo"" (the letters)",,,,
_soo1,"""oo1"" (as in ""boot"")",,,,
_soo2,"""oo2"" (as in ""book"")",,,,
_lor,or (the letters),,,,
_lorr,"""orr"" (the letters)",,,,
_lost,"""ost"" (the letters)",,,,
_sost,"""ost"" (the sounds)",,,,
_lou,"""ou"" (the letters)",,,,
_sou1,"""ou1"" (the sounds)",,,,
_sou2,"""ou2"" (the sounds)",,,,
_sou3,"""ou3"" (the sounds)",,,,
_low,"""ow"" (the letters)",,,,
_sow,"""ow"" (the sounds)",,,,
_loy,"""oy"" (the letters)",,,,
_soy,"""oy"" (the sounds)",,,,
_sp,"""p"" (letter sound)",,,,
_spotsi,"part of the syllable immediately before the consonant ""l""-""e"" syllable.",,,,
_spctcb,"Pat'""s"" car -- the car belongs to Pat.",,,,
_lph,"""ph"" (the letters)",,,,
_splait,"""pl"", as in the word plus",,,,
_spcwtl,Please continue with the lesson.,,,,
_spltti,Please listen to the instructions for this lesson.,,,,
_sppteb,Please press the EXIT button to leave this part of the lesson.,,,,
_sppteb1,Please press the EXIT button.,,,,
_spsaof,"Please select ""an"" option from the screen to continue.",,,,
_sprata,Press RECORD and try again.,,,,
_sptcbt,Press the Clear button to start over.,,,,
_sptebw,Press the Enter button when you have finished.,,,,
_spthbi,Press the HINT button if you need help.,,,,
_sptnbw,Press the NEXT button when you have finished.,,,,
_sptrba5,Press the RECORD button and name the keyword.,,,,
_sptrba1,Press the RECORD button and say the letter for that sound.,,,,
_sptrba9,Press the record button and say the letter sound...,,,,
_sptrba3,Press the RECORD button and say the letter...,,,,
_sptrba8,Press the Record button and say the letters...,,,,
_sptrb11,Press the Record button and say the sound made by the letter.,,,,
_sptrb10,Press the Record button and say the sound made by these letters.,,,,
_sptrba,Press the RECORD button and say the sound of each blend.,,,,
_sptrba6,Press the record button and say the sound of each letter.,,,,
_sptrba2,Press the RECORD button and say the word.,,,,
_sptrba7,Press the RECORD button and say the word...(word),,,,
_sptrba4,Press the RECORD button while you talk.,,,,
_sptrb,Press the record button.,,,,
_sptrab,Press the RIGHT ARROW button to continue.,,,,
_sputth,Put the two syllables together.,,,,
_squ,"""qu"" (letter sound)",,,,
_sr,"""r"" (letter sound)",,,,
_srcwtb,"""r""-controlled syllables that end with the letter “e”.",,,,
_srares,Read and record each sight word you see on the screen.,,,,
_srtfsf,Read the following sentences from the paragraph or story you just read.,,,,
_srtfs,Read the following sentences.,,,,
_srtsys1,Read the sentence you see on your screen.,,,,
_srtsys,Read the sentences you see on the screen.,,,,
_srtsb,Read the story below.,,,,
_srtsot,Read the story on the screen.,,,,
_srtwan,Read the words and nonsense words you see on the screen.,,,,
_srattl,Record and type the letter that makes this sound.,,,,
_srattl1,Record and type the letters that make this sound.,,,,
_srtlot2,Record the letter of the end sound.,,,,
_srtlot3,Record the letter of the first sound.,,,,
_srtlot,Record the letter of the middle sound.,,,,
_srtlwy,Record the letters with your voice.,,,,
_srtwac,Record the word and compare it to mine.,,,,
_sremem,Remember a closed syllable is one in which a vowel is followed by one or more consonants.,,,,
_sracsi,Remember a closed syllable is one in which the vowel is followed by at least one consonant,,,,
_srasmh,Remember all syllables must have a vowel.,,,,
_sritll,"Remember in the last lesson ""we"" practiced how to put three sounds together to form real words and nonsense words.",,,,
_srtoma,"Remember that ""“ou”"" also makes another sound.",,,,
_srtaus,"Remember that ""an"" unaccented ""a"" can stand alone as ""a"".",,,,
_srttvt,"Remember that the vowel team ""oo"" also makes the /""u""/ sound, as in the word ""school"".",,,,
_srtfvw,"Remember the first vowel will always ""be"" long.",,,,
_sriavss,"Remember, in a ""vce"" syllable, the final ""e"" is silent.",,,,
_srteat,"Remember, the ""e"" at the end of the word is silent.",,,,
_srwt,"Remember, the consonant ""y"" sometimes acts as if it were a vowel.",,,,
_srtsoe,"Remember, the sounds of each of the three letters must ""be"" blended together.",,,,
_srtomc,"Remember, two or more consonants together at the beginning or end of a word are called blends.",,,,
_srvtwh,"Remember, vowel teams will have two letters.",,,,
_srwawe1,"Remember, when a word ends with ""an"" ""e"", the ""e"" is called a silent ""e"".",,,,
_srwawe,"Remember, when a word ends with vowel - consonant - ""e"", the ""e"" at the end of the word is silent, and the vowel is long.",,,,
_srywtp,"Remember, you want to put the letters in alphabetical order.",,,,
_srecfc,"Remember: Enter ""C"" for closed syllables and ""E"" for vowel - consonant - e syllables.",,,,
_lrh,"""rh"" (the letters)",,,,
_ss,"""s"" (letter sound)",,,,
_sattltm,Say and type the letter that makes this sound.,,,,
_ssattl,Say and type the letters of the blend that make the sound.,,,,
_ssattl1,Say and type the letters that make the sound.,,,,
_ssayan,Say and type the number of syllables you hear.,,,,
_ssattn,Say and type the vowel sound you hear.,,,,
_sstls,Say the letter sound...,,,,
_sstsot,Say the syllables of the word out loud with the first vowel short.,,,,
_lscr,"""scr"" (the letters)",,,,
_sscr,"""scr"" (the sounds)",,,,
_hycsee,Select either English or Spanish to hear your instructions in that language. (record in English and Spanish),,,,
_sseosth,Select English or Spanish to hear the LTK instructions in that language.,,,,
_sss2,"seventeen, seventeenth",,,,
_ssotwa,"Several of these words are simply sight words and cannot ""be"" blended.",,,,
_lsh,"""sh"" (the letters)",,,,
_ssh,"""sh"" (the sounds)",,,,
_lshr,"""shr"" (the letters)",,,,
_sshr,"""shr"" (the sounds)",,,,
_sswdnf,Sight words do not follow any spelling rules.,,,,
_sstwei,"Since the word ends in ""s"", ""x"" or ""z"", the letters ""es"" is added to the end of the word.",,,,
_sstwia,"Since the word is a ""vce"" word, the ""e"" is silent, and does not make a sound.",,,,
_sstwia1,"Since the word is a ""vcv"" word, you add ""an"" ""s"" to the end of the word to make it plural.",,,,
_sss1,"sixteen, sixteenth",,,,
_hstcat,"""Slect"" the checkmark button at the upper left of this screen to change the instruction language. (record in English and Spanish)",,,,
_ssfwhl,"""So"" far ""we"" have learned...",,,,
_ssfwhp,"""So"" far ""we"" have practiced these sight words...",,,,
_ssfwhp2,"""So"" far ""we"" have practiced these words...",,,,
_ssfwhp1,"""So"" far ""we"" have practiced...",,,,
_ssetvt,some exceptions to vowels team rules.,,,,
_sslcah,Some letter combinations are hard to say as unique sounds.,,,,
_ssnb,some new blends.,,,,
_ssnc,some new consonants,,,,
_ssnfb,some new final blends.,,,,
_ssnib,some new initial blends.,,,,
_ssnl,some new letters,,,,
_ssnv,some new vowels.,,,,
_ssnwbr,some new word building rules.,,,,
_ssnw,some new words.,,,,
_ssotsl,Some of the silent letter patterns are digraphs.,,,,
_ssotwh,Some of these words have already been practiced as sight words.,,,,
_ssomes,Some syllables are not accented or said as strongly as others.,,,,
_sswmhm,Some words may have more than one correct answer.,,,,
_ssacwc,Sometimes a consonant will change the sound of a vowel.,,,,
_ssiibt,"Sometimes it is best to memorize some of the more common words that contain these patterns, since you have several options when blending them.",,,,
_ssomet,"Sometimes the consonant will ""hook on"" to the first vowel to form a closed syllable.",,,,
_stlaoi,"Sometimes the letters ""a"" or ""i"" will make the ""u"" (ugh) sound in the middle of a word with ""3"" or more syllables.",,,,
_sstlus,"Sometimes the long ""u"" sounds like ""yu"" as in the word ""mule"".",,,,
_ssthi,Sometimes this happens in the middle of words with three or more syllables.,,,,
_ssvtwh,Sometimes vowel teams will have more than one sound.,,,,
_sdvtcm,"Sometimes, different vowel teams can make the same sound.",,,,
_ssymto,"Sorry, you missed that one.",,,,
_wsounds,sounds (in the word ...) (sounds) (There are ...),,,,
_lspl,"""spl"" (the letters)",,,,
_sspl,"""spl"" (the sounds)",,,,
_sstsat,"Split the syllables at the ""“vce”"" syllable.",,,,
_sstwbt,Split the syllables between the blend or digraph and the following letter.,,,,
_sstwbt1,Split the syllables between the consonant and the vowel that follows it.,,,,
_sstwbt3,Split the syllables between the first and second syllables which are also words.,,,,
_sstwbt2,Split the syllables between the long vowel and the letter that follows it.,,,,
_sstbto,"Split the syllables ""beween"" two or more consonants which fall between two vowels.",,,,
_sstsus,Split the syllables using the rule for open syllables.,,,,
_sstwut,"Split the syllables using the rules for open, closed and ""vce"" syllables.",,,,
_sstwis,Split the word into syllables by clicking your mouse pointer between the letters.,,,,
_lspr,"""spr"" (the letters)",,,,
_sspr,"""spr"" (the sounds)",,,,
_lsqu,"""squ"" (the letters)",,,,
_ssqu,"""squ"" (the sounds)",,,,
_lstr,"""str"" (the letters)",,,,
_sstr,"""str"" (the sounds)",,,,
_saeyca,Suffixes are endings you can add to root words in order to change their meaning.,,,,
_sstctl,Syllables that contain the letters...,,,,
_sstcvt,Syllables that contain vowel teams are called vowel team syllables.,,,,
_ssteia,"syllables that end in ""ar"" and ""or"".",,,,
_sstewa,"Syllables that end with a consonant and the letters “l” and “e” are called consonant ""L""-""E"" syllables.",,,,
_sstew,Syllables that end with...,,,,
_st,"""t"" (letter sound)",,,,
_sasmt10,talk (pause) talk,,,,
_ltch,"""tch"" (the letters)",,,,
_stmwto,"Tell ""me"" what type or types of syllables are in that word.",,,,
_lth,"""th"" (the letters)",,,,
_stmtus,"""TH"" makes two unique sounds.",,,,
_sth2,"""th"", (as in the word ""that"" -- the sounds)",,,,
_sth1,"""th"", (as in the word ""thin"" -- the sounds)",,,,
_styftt,Thank you for taking this test. Your instruction will begin with the following lesson...,,,,
_stibtlq,"That is because the ""q"" and ""u"" always ""go"" together.",,,,
_stiwsw,"That is why sight words must ""be"" memorized.",,,,
_stmtlwp,"That makes the letter ""w"" part of the vowel team.",,,,
_stsinl,That sound is neither long nor short.,,,,
_sttcgm,"that the consonant ""g"" makes the /""guh""/ sound.",,,,
_sttviw,"that the vowel in ""“vcv”"" words makes its short sound.",,,,
_stnqrp,"That'""s"" not quite right, please try it again.",,,,
_stnqr,"That'""s"" not quite right.",,,,
_stheb,"The ""B"" goes with the""Y"": ""ba"" by.",,,,
_stheei,"The ""E"" is silent and acts as a silent vowel, since all syllables must have a vowel.",,,,
_sticbe,"The ""I""can ""be"" either long: /""ive""/ or short: /ive/.",,,,
_stqiaf,"The ""q"" is always followed by a ""u"".",,,,
_sttiti,"The ""t"" in ""tch"" is ""slient"".",,,,
_styaaa,"The ""y"" acts as a vowel.",,,,
_styat,"The ""y"" at the end of the word will make the long ""i"" sound.",,,,
_styitw,"The ""y"" in the word ""fly"" says the sound of long ""i"".",,,,
_stsicp,"The '""s"" is called possessive because it means that something belongs to someone or something.",,,,
_stbwtl1,"The best way to learn ""ng"" is to put a vowel before the ""ng"".",,,,
_stbwtln,"The best way to learn ""nk"" is to put a vowel before the ""nk"".",,,,
_stbodm,The blend or digraph must stay together.,,,,
_stbywb1,"The blends you will ""be"" practicing within this lesson are ""bl"", ""cl"", ""fl"", ""gl"", ""pl"", and ""sl"".",,,,
_stbywb,"The blends you will ""be"" practicing within this lesson are...",,,,
_stcsew,The closed syllable exception words with long vowel sounds are:,,,,
_stcmou,The combination makes one unique sound.,,,,
_stccmt,"The consonant “c” made the sound of “s”, not the sound of “k”.",,,,
_stccwc,"the consonant ""c"", which can make the /""s""/ sound.",,,,
_stcgwm,"The consonant ""g"" will make the /""j""/ sound when followed by the letter ""e"". ""i"", or ""y"".",,,,
_stcate,The consonant at the end of the word is doubled.,,,,
_stcd1,the consonant digraph...,,,,
_stcg,the consonant digraphs...,,,,
_stchot,The consonant hooks onto the first vowel to form a closed syllable.,,,,
_stcibt,The consonant immediately before the “le” is part of the consonant “le” syllable.,,,,
_stci,"The consonant is (""Hint2"")",,,,
_stcles,"the consonant ""l""-""e"" syllable.",,,,
_stcsi,The consonant sound is...,,,,
_stca,The consonants are...,,,,
_stcbtv,"The consonants between the vowels are...(""Hint2"")",,,,
_stcitd,The consonants in these digraphs do have separate sounds.,,,,
_stcai1,The correct answer is... (letters),,,,
_stcai,The correct answer is... (words),,,,
_stcai2,The correct answer is...(sounds),,,,
_stdftw,"The digraph for this word is...(""SkillWave"")",,,,
_stelim,"The English language is made ""up"" of two types of sounds: vowels and consonants.",,,,
_stfbyw,"The final blends you will ""be"" practicing within this lesson are...",,,,
_sthefi,"The final ""E"" must ""be"" added when a word ends in ""ivebecause a word almost never ends in ""V"".",,,,
_stfdi,The first digraph is...,,,,
_stflot,The first letter of the keyword is the sound you want to remember.,,,,
_stfsiu,The first sound is unusual because it has two letters and one sound.,,,,
_stfsic,the first syllable in Column A to make a real word.,,,,
_stfsio,"The first syllable is open and ends with the vowel (""Hint1"").",,,,
_stfsit,"The first syllable is the word (""Hint1"").",,,,
_stflaia,The following lesson activity is a demonstration.,,,,
_stkf,The keyword for...,,,,
_sthela,"The last two letters are always ""le"".",,,,
_stltla,The last two letters are always “le”.,,,,
_stlimi,"The letter ""i"" makes its short sound.",,,,
_stloit1,"The letter ""o"" in the word dog says ""aw"".",,,,
_stloit,"The letter ""o"" in the word hot says ""ah"".",,,,
_stloia,"The letter ""o"" is a vowel.",,,,
_stlsi,The letter “s” is,,,,
_stlsmo,"The letter ""s"" makes one sound, and the letters ""qu"" make a second sound.",,,,
_stltisw,"The letter ""t"" is silent when it is with the letters ""ch"".",,,,
_stlyal,"the letter ""y"" as long ""i"".",,,,
_stlywm,"The letter “y” will make the sound of short ""“i”"", as in the word “system”.",,,,
_stlateo,The letter at the end of the word is not doubled for these exceptions.,,,,
_stli,The letter is...,,,,
_stlsit,"The letter ""s"" in the word wise makes the sound of the letter ""z"".",,,,
_stlca,"The letters ""“ck”"" are",,,,
_stleas,"The letters ""gh"" are silent, but are part of the sound /""ay""/.",,,,
_stlgha,"The letters ""“gh”"" are silent.",,,,
_stlgcm,"The letters ""gh"" can make the /g/ sound as in ""ghost"", ""ir"" the /""f""/ sound as in ""laugh"".",,,,
_stlman,"The letters ""m"" and ""n"" change the sound of the vowel ""a"".",,,,
_stlsmo1,"The letters ""sh"" make one sound, and the letter ""r"" makes a second sound.",,,,
_stlt,"The letters ""t"" (and ""p"" are consonants.)",,,,
_stltmo,"the letters ""th"" make one sound, and the letter ""r"" makes a second sound.",,,,
_stla,The letters are...,,,,
_stla1,"The letters are...(""SkillLetter"")",,,,
_stlitba,The letters in the blend are...,,,,
_stlitb,The letters in the blend or digraph must stay together.,,,,
_stlitvt,"The letters in the vowel team are...(""SkillLetter"")",,,,
_stlitw,"The letters in this word family are (""SkillLetter"").",,,,
_stlotda,The letters of the digraph (two letters making one sound) are...,,,,
_stlotd,"The letters of the digraph are...(""SkillLetters"")",,,,
_stlotsa,"The letters of the suffix are...(""SkillLetter"")",,,,
_stlotw,"The letters of the word family are...(""SkillLetter"")",,,,
_stltah,"The letters that are highlighted need to ""be"" entered again.",,,,
_stltlfa,"The letters to look for are...(""SkillLetter"")",,,,
_stlvsa,The long vowel sounds are:,,,,
_stmlit,The missing letter in this digraph is...,,,,
_stmlot,The missing letters of the digraph are...,,,,
_stndyw,The next digraph you will work with is...,,,,
_stnsbw,The next syllable begins with a vowel.,,,,
_stntsa,The next two sounds are also unusual.,,,,
_stnoli1,The number of letters is...(number),,,,
_stnosi,The number of sounds is (number).,,,,
_stnosi1,The number of syllables in this word is:,,,,
_stheon,"The one syllable words can ""be"" closed syllables or ""vce"" pattern words.",,,,
_stoswc,"The one syllable words can ""be"" closed syllables or ""vce"" syllables.",,,,
_stpott,The purpose of this test is to determine your beginning lesson number within this program.,,,,
_sthese,"The second ""D"" goes with the ""Y"": dad ""dy"".",,,,
_stsfdn,"The second ""f"" does not make its own sound.",,,,
_stsldn,"The second ""l"" does not make its own sound.",,,,
_stssdn,"The second ""S"" does not make its own sound.",,,,
_stscsb1,The second closed syllable begins with a vowel.,,,,
_stscsb,"The second closed syllable begins with the vowel...(""Hint3"")",,,,
_stssit,"The second syllable is the word (""Hint2"").",,,,
_stssti,"The second syllable type is (""Hint2"").",,,,
_stsswb,"The second syllable which begins with the SECOND vowel can ""be"" any syllable type.",,,,
_stsswa,"The second syllable will also ""be"" closed in the words in this lesson.",,,,
_stsswa1,"The second syllable will also ""be"" closed.",,,,
_stssei,"The second syllable, ""“ent”"", is a closed syllable because it is one vowel followed by one or more consonants.",,,,
_stsvsa,The short vowel sounds are:,,,,
_stsi,The sound is...,,,,
_stsi1,"The sound is...(""SkillWave"")",,,,
_stsoli,"The sound of long ""i"" is /i/.",,,,
_stsosi,"The sound of short ""i"" is /i/.",,,,
_stsotb,The sound of the blend in the word...,,,,
_stsotd,The sound of the digraph is...,,,,
_stsotd1,The sound of the double-dotted:,,,,
_stsotf,The sound of the first letter in the keyword...,,,,
_stsotf1,The sound of the first letter in the word is...,,,,
_stsotl2,The sound of the letter in the keyword is...,,,,
_stsotl5,The sound of the letter in the keyword...,,,,
_stsotl,The sound of the letter is...,,,,
_stsotl3,The sound of the letters in the keyword...,,,,
_stsotli,"The sound of the letters is...(""SkillWave"")",,,,
_stsots,"The sound of the suffix in this word is...(""SkillWave"")",,,,
_stsotv,The sound of the vowel in the keyword ...,,,,
_stsotvt,The sound of the vowel team in this word is...,,,,
_stsotv1,"The sound of the vowel team is...(""SkillWave"")",,,,
_stsotw1,"The sound of the ""W""-controlled letters is...(""SkillWave"")",,,,
_stsotw,"The sound of the ""W""-controlled letters is...(""SkillWave"").",,,,
_stsotw2,"The sound of the word family is...(""SkillWave"")",,,,
_stsaka,The sounds and keywords are printed on your card deck.,,,,
_stsmbb,"The sounds must ""be"" blended together to make the word.",,,,
_stsotb1,The sounds of the blend are...,,,,
_stsotl1,The sounds of the letters are...,,,,
_stsotwf,"The sounds of the word family letters are (""SkillWave"").",,,,
_stsirn,"The squares in red need to ""be"" changed.",,,,
_stse,"the suffix ""ed""",,,,
_stsecm,"The suffix ""ed"" can make three sounds.",,,,
_stsi2,"The suffix is...(""SkillLetter"")",,,,
_stsywb,"The suffixes you will ""be"" working with are:",,,,
_stsitw,The syllables in this word are closed.,,,,
_sthetw,"The two syllable words will contain ""an"" open syllable and a closed syllable, or an open syllable and a ""vce"" syllable.",,,,
_sttvmo,The two vowels make one sound.,,,,
_sttwaj,The two words are joined together to make one word.,,,,
_studna,"The ""u"" does not act as a vowel--it makes ""no"" sound.",,,,
_stvscb,"The ""vce"" syllable can ""be"" any place in the word.",,,,
_stvaif,"The vowel ""a"" is followed by at least one consonant, ""t"".",,,,
_stvams,"The vowel ""a"" may sound like /""u""/ (ugh) and not /a/ (short a) in the first or last syllable of a word with more than one syllable.",,,,
_stvisi,"The vowel ""i"" says its own name.",,,,
_stvftw,The vowel for this word is...,,,,
_stvitw,The vowel in this word is...(letter),,,,
_stvis,The vowel is short.,,,,
_stvsia,"The vowel sound is ""a"", the keyword is apple.",,,,
_stvsi,The vowel sound is...,,,,
_stvti,The vowel team is...,,,,
_stvtyw1,The vowel team you will practice in this lesson is...,,,,
_stvttm,"The vowel teams that make the /you/ sound and the /""oo""/ sound are:",,,,
_stvtyw,The vowel teams you will practice in this lesson are...,,,,
_stvtywp,The vowel teams you will practice within this lesson are...,,,,
_stvumi,the vowel usually makes its long sound.,,,,
_stvwmis,The vowel will make its short sound.,,,,
_stva,"The vowels are...(""Hint1"")",,,,
_stwcla1,"The ""W""-controlled letters are...(""SkillLetter"")",,,,
_stwcla,"The ""W""-controlled letters are...(""SkillLetter"").",,,,
_stwbcb,"The word ""bug"" can ""be"" changed to the word ""bugs"" by adding ""an"" ""s"" to the end of the word.",,,,
_stwfiao,"The word ""fly"" is ""an"" open, one syllable word because the letter ""y"" makes the long ""i"" sound.",,,,
_stwfia,"The word ""fly"" is ""an"" open, one ""sylllable"" word.",,,,
_stwpia,"The word ""pig"" is a closed, one syllable word.",,,,
_stwhts,The word has three sounds.,,,,
_stwi1,The word is...(say and display),,,,
_stwitlm,"The words in this lesson make the sound of /""aw""/ and are in the same word family.",,,,
_stwywb,"The words you will ""be"" working with in the next several lessons are closed syllable words.",,,,
_stcots,Then click on the syllable you are interested in.,,,,
_stiwsy,Then I will show you three different second syllables.,,,,
_stlttcs,"Then listen to computer'""s"" sounds and compare them with yours.",,,,
_stlats,"Then look at the three suffixes in column ""B"".",,,,
_sthenl,"Then look at the words in Column ""B"".",,,,
_ststla,Then say the letter and its sound...,,,,
_ststw,Then say the word.,,,,
_sttitm2,Then type in the missing word.,,,,
_stttp,Then type that phrase.,,,,
_sttts,Then type the sentence.,,,,
_stpteb,"Then, press the Enter button.",,,,
_sta,There are (... sounds in the word ...),,,,
_stats,"There are ""21"" consonants in the English alphabet.",,,,
_stafvi,There are five vowels in our language...,,,,
_statoc,"There are ""no"" new sight words this lesson.",,,,
_stasvw,"There are some ""vcv"" words that do not follow the short vowel rule.",,,,
_statco,There are two columns on your screen.,,,,
