Wave1,Corrections,RU,DE,ES,FR,AR,zh-CHS,TR,PT,Philiphino Tagalog,Hindi,Polish
_sctrba2,Click the record button and say the word on the screen.,Нажмите кнопку записи и скажите слово на экране.,"Klicken Sie auf die Schaltfläche Record, und sagen Sie das Wort auf dem Bildschirm.",Haga clic en el botón grabar y diga la palabra en la pantalla.,Cliquez sur le bouton enregistrer et prononcez le mot à l'écran.,انقر فوق زر السجل وقل الكلمة علي الشاشة.,"单击 ""录制"" 按钮并在屏幕上说出该单词。",Kayıt düğmesini tıklatın ve ekrandaki kelimeyi söyleyin.,Clique no botão gravar e diga a palavra na tela.,,,
_scotwo,Click the words on the right that match the numbers on the left.,"Щелкните слова справа, совпадающие с номерами слева.","Klicken Sie auf die Wörter rechts, die den Nummern auf der linken Seite entsprechen.",Haga clic en las palabras de la derecha que coinciden con los números de la izquierda.,Cliquez sur les mots à droite qui correspondent aux nombres à gauche.,انقر فوق الكلمات علي اليمين التي تطابق الأرقام علي اليسار.,单击右侧与左侧数字匹配的单词。,Soldaki sayılarla eşleşen sağdaki sözcükleri tıklatın.,Clique nas palavras à direita que correspondem aos números à esquerda.,,,
_hcft,"Click this button to transfer a copy of your student history files to a ""Language Tune-up Kit"" For Schools system.","Нажмите эту кнопку, чтобы перенести копию файлов студенческой истории на языковую настройку ""Up"" для школьной системы.","Klicken Sie auf diese Schaltfläche, um eine Kopie Ihrer Student History-Dateien in ein Language Tune-""up"" Kit für Schulen-System zu übertragen.","Haga clic en este botón para transferir una copia de los archivos de su historial estudiantil a una melodía de idioma-""up"" kit para el sistema de escuelas.","Cliquez sur ce bouton pour transférer une copie de vos dossiers d'histoire d'étudiant dans un kit de langue-""up"" pour le système scolaire.","انقر فوق هذا الزر لنقل نسخه من ملفات محفوظات الطلاب الخاصة بك إلى لحن لغة-""لاعلي"" لنظام المدارس.","单击此按钮可将学生历史文件的副本传输到语言调整-""向上"" 工具包供学校系统使用。","Öğrenci geçmişi dosyalarınızın bir kopyasını okul sistemi için ""Up"" Kit 'e aktarmak için bu düğmeyi tıklatın.","Clique neste botão para transferir uma cópia dos seus ficheiros de histórico de alunos para uma afinação de idioma-""up"" kit para o sistema de escolas.",,,
_scswte,Closed syllable words that end in...,"Закрытые слоговые слова, которые заканчиваются...",Geschlossene Silbe words that End in ...,Sílabas cerradas palabras que terminan en. ..,Mots de syllabe fermés qui finissent en ...,الكلمات المقطعة المغلقة التي تنتهي في...,闭合音节词结束在..。,Kapalı hece kelimeleri...,Palavras de sílaba fechadas que terminam em...,,,
_scolum,Column A contains the first syllables of three words.,Столбец A содержит первые слоги из трех слов.,Spalte A enthält die ersten Silben von drei Wörtern.,La columna a contiene las primeras sílabas de tres palabras.,La colonne A contient les premières syllabes de trois mots.,يحتوي العمود A علي المقاطع الاولي من ثلاث كلمات.,A 列包含三单词的第一个音节。,A sütunu üç kelimenin ilk hecelerini içerir.,A coluna a contém as primeiras sílabas de três palavras.,,,
_scbcts,"Column ""B"" contains the second syllables of three words.","В колонке ""B"" содержатся вторые слоги трех слов.","Spalte ""B"" enthält die zweiten Silben von drei Wörtern.","La columna ""B"" contiene las segundas sílabas de tres palabras.","La colonne ""B"" contient les deuxièmes syllabes de trois mots.","العمود ""B"" يحتوي علي المقاطع الثانية من ثلاث كلمات.","列 ""B"" 包含三单词的第二个音节。","""B"" sütunu üç kelimenin ikinci hecelerini içerir.","A coluna ""B"" contém as segundas sílabas de três palavras.",,,
_sctsbb,Complete the sentence below by typing in the missing word.,"Заполните приведенное ниже предложение, введя недостающее слово.","Vervollständigen Sie den nachfolgenden Satz, indem Sie das fehlende Wort eingeben.",Complete la frase siguiente escribiendo la palabra que falta.,Complétez la phrase ci-dessous en tapant le mot manquant.,أكمل الجملة أدناه بالكتابة في الكلمة المفقودة.,通过键入缺少的单词来完成下面的句子。,Eksik sözcüğü yazarak aşağıdaki cümleyi tamamlayın.,"Complete a frase abaixo, digitando a palavra em falta.",,,
_scwamu,Compound words are made up of two one syllable words.,"Составные слова сделаны ""вверх"" из 2 1 слоговых слов.","Zusammengesetzte Wörter werden ""herauf"" von 2 1 Silben Wörter gebildet.","Las palabras compuestas se hacen ""para arriba"" de 2 1 palabras de la sílaba.",Les mots composés sont faits «vers le haut» de 2 1 mots de syllabe.,"وادلي الكلمات المركبة ""حتى"" من الكلمات 2 1 مقطع لفظي.",复合词是由两个音节的单词组成的。,"Bileşik kelimeler 2 1 hece kelime ""Up"" yapılır.","Palavras compostas são feitas ""up"" de 2 1 palavras-sílaba.",,,
_scompo,Compound words are words in which two one syllable words are joined together to make one word.,"Составные слова — это слова, в которых 2 1 слоговых слов объединяются, чтобы сделать одно слово.","Zusammengesetzte Wörter sind Wörter, in denen 2 1 Silben Wörter zusammengefügt werden, um ein Wort zu bilden.",Las palabras compuestas son palabras en las que las palabras de sílaba 2 1 se unen para hacer una palabra.,Les mots composés sont des mots dans lesquels 2 1 mots de syllabe sont réunis pour faire un mot.,الكلمات المركبة هي الكلمات التي يتم ضم الكلمات 2 1 مقطع معا لجعل كلمه واحده.,复合词是用两个音节词一起组成一个词的词。,Bileşik sözcükleri bir kelime yapmak için birlikte 2 1 hece kelimeleri birleştirilmiştir kelime vardır.,Palavras compostas são palavras nas quais 2 1 palavras-sílabas se unem para fazer uma palavra.,,,
_scwhto,Compound words have two one syllable words which are joined together to make one word.,"Составные слова имеют 2 1 слоговых слов, которые объединились, чтобы сделать одно слово.","Zusammengesetzte Wörter haben 2 1 Silben Wörter, die zusammengefügt werden, um ein Wort zu bilden.",Las palabras compuestas tienen 2 1 palabras de sílaba que se unen para hacer una sola palabra.,Mots composés ont 2 1 Mots syllabe qui sont réunis pour faire un mot.,الكلمات المركبة لها الكلمات المقطعة 2 1 التي انضمت معا لجعل كلمه واحده.,"复合词有两个音节的单词, 它们一起组成一个词。",Bileşik kelimeler bir kelime yapmak için birlikte birleştirilmiş 2 1 hece kelime var.,Palavras compostas têm 2 1 palavras-sílaba que estão Unidas para fazer uma palavra.,,,
_scw1,compound words.,составные слова.,zusammengesetzte Wörter.,palabras compuestas.,des mots composés.,الكلمات المركبة.,复合词。,bileşik sözler.,palavras compostas.,,,
_wcongra,Congratulations!,Поздравляю!,Herzlichen Glückwunsch!,Felicitaciones!,Félicitations!,تهاني!,祝贺!,Tebrikler!,Parabéns!,,,
_scdatc,Consonant digraphs are two consonants that weld together to make a new sound.,"Согласные с двумя согласными, которые объединяются для создания нового звука.","Konsonanten sind zwei Konsonanten, die zusammen Schweißen, um einen neuen Klang zu bilden.",Las digrafías consonantes son dos consonantes que sueldan juntas para hacer un nuevo sonido.,Les digrammes consonnes sont deux consonnes qui soudent ensemble pour faire un nouveau son.,الرسوم البيانية الساكنة هما الساكنة التي لحام معا لجعل صوت جديد.,"辅音图是两个辅音, 焊接在一起, 使一个新的声音。",Ünsüz dahil yeni bir ses yapmak için birlikte kaynak iki ünsüz vardır.,Digrafos consoante são duas consoantes que soldam juntas para fazer um novo som.,,,
_scd,consonant digraphs.,созвучные расграфы.,Konsonanten.,digramas de consonantes.,des digrammes consonnes.,الرسومات البيانية الساكنة.,辅音图。,sessiz dahil.,digrafias consoantes.,,,
_scarto,Consonants are all the other letters that are not vowels.,"Согласные-это все остальные буквы, которые не являются гласными.","Konsonanten sind alle anderen Buchstaben, die keine Vokale sind.",Las consonantes son todas las otras letras que no son vocales.,Les consonnes sont toutes les autres lettres qui ne sont pas des voyelles.,الساكنة هي جميع الحروف الأخرى التي ليست أحرف العلة.,辅音是所有其他字母不是元音。,"Ünsüzler, ünlüler olmayan tüm diğer harflerdir.",Consoantes são todas as outras letras que não são vogais.,,,
_scaoby,"Consonants are obstructed by your teeth, (""ch""- cheese), your mouth, (""th"" -these), or your lips, (""p"" - pig).","Согласные с вашими зубами, (""CH""-сыр), ваш рот, (""th""-это) или ваши губы (""p""-свинец).","Konsonanten werden durch ihre Zähne, (""ch""-Käse), ihren Mund, (""th""-diese) oder Ihre Lippen (""p""-Schwein) behindert.","Las consonantes son obstruidas por sus dientes, (""CH""-queso), su boca, (""TH""-estos), o sus labios, (""p""-cerdo).","Les consonnes sont obstruées par vos dents, (""ch""-fromage), votre bouche, (""th""-ces), ou vos lèvres, (""p""-cochon).","يتم أعاقه الساكنة من قبل أسنانك ، (""ch"" الجبن) ، فمك ، (""ال""--هذه) ، أو شفتيك ، (""p""--خنزير).","辅音是由你的牙齿, (""ch""-奶酪), 你的嘴, (""th""-这些), 或你的嘴唇, (""p""-猪) 阻碍。","Ünsüzler dişlerinizi, (""CH""-peynir), ağzınızı, (""TH""-Bu), veya dudaklar, (""p""-Pig) tarafından engellenir.","Consoantes são obstruídas por seus dentes, (""ch""-queijo), sua boca, (""th""-estes), ou seus lábios, (""p""-porco).",,,
_sdeipt,Data error in sound pronunciation table. Call vendor.,Ошибка данных в таблице звукового произношения. Позвонить поставщику.,Daten-Fehler in der Sound Aussprache-Tabelle. Verkäufer anrufen.,Error de datos en la tabla de Pronunciación de sonido. Llame a un vendedor.,Erreur de données dans la table de prononciation sonore. Appelez le vendeur.,خطا بيانات في جدول نطق الصوت. اتصل بالبائع.,语音表中的数据错误。呼叫供应商。,Ses telaffuz tablosunda veri hatası. Satıcıyı arayın.,Erro de dados na tabela de pronúncia de som. Chame o vendedor.,,,
_wdelay5,"delay .""5"" second","на задержку. "" 5 секунд","""Verzögerung."" 5 ""zweiter""","demora "". 5 ""segundo","retard. "" 5 ""seconde","تاخير "". 5 ""الثاني","延迟。5 ""第二","gecikme. "" 5 ""ikinci","atraso. "" 5 ""segundo",,,
_wdelay1,"delay ""1"".""0"" second","Задержка ""1"". 0 ""второй","Verzögerung ""1"". "" 0 ""Sekunde""","retrasar ""1"". 0 ""segundo","retard ""1"". 0 ""seconde","تاخير ""1"". 0 ""الثانية","延迟 ""1""。0 ""第二","gecikme ""1"". 0 ""saniye","Delay ""1"". 0 ""segundo",,,
_wdelay2,"delay ""2"".""0"" seconds","Задержка ""2"". 0 секунд","Verzögerung ""2"". "" 0 Sekunden","retardo ""2"". 0 ""segundos","retard ""2"". 0 ""secondes","تاخير ""2"". 0 ""ثانيه","延迟 ""2""。0 ""秒","""2"" gecikme. 0 ""saniye","Delay ""2"". 0 ""segundos",,,
_sdotctf,"Depending on the consonant that follows the letters ""al"", the letter ""a"" will make the sound of double dotted ""a"".","В зависимости от согласных, которые соответствуют буквам «Al», буква «a» сделает звук двойной пунктирной линией «a».","Je nach dem Konsonanten, der den Buchstaben ""Al"" folgt, wird der Buchstabe ""a"" den Klang doppelter gepunktete ""a"" machen.","Dependiendo de la consonante que sigue las letras ""al"", la letra ""a"" hará el sonido de doble punteado ""a"".","Selon la consonne qui suit les lettres ""Al"", la lettre ""a"" fera le son du double pointillé ""a"".","واعتمادا علي الحرف الساكن الذي يتبع الحروف ""al"" ، فان الرسالة ""a"" ستجعل الصوت مزدوج المنقطة ""a"".","根据字母 ""al"" 后面的辅音, 字母 ""a"" 将发出双点 ""a"" 的声音。","""Al"" harfini izleyen sessize bağlı olarak, ""a"" harfi çift noktalı ""a"" sesini yapacaktır.","Dependendo da consoante que segue as letras ""Al"", a letra ""a"" fará com que o som de duplo pontilhado ""a"".",,,
_ldge,"""dge"" (the letters)","""Дже"" (буквы)","""DGE"" (die Buchstaben)","""DGE"" (las letras)","""DGE"" (les lettres)","""الحرف"" (الأحرف)","""dge"" (信件)","""DGE"" (harfler)","""DGE"" (as letras)",,,
_sdyhts,Did you hear the sound made by the letter “c” in the word “ceiling”?,"Вы слышали звук, сделанный буквой ""с"" в слове ""верхний предел""?","Hörten Sie den Klang, der durch den Buchstaben ""c"" im Wort ""Decke"" gebildet wurde?","¿escuchó el sonido hecho por la letra ""c"" en la palabra ""techo""?","Avez-vous entendu le son fait par la lettre ""c"" dans le mot ""plafond""?","هل سمعت صوت الحرف ""ج"" في كلمه ""السقف"" ؟","你有没有听到 ""天花板"" 一词中的字母 ""c"" 所发出的声音？","""tavan"" kelimesinin ""c"" harfi ile yapılan sesi duydunuz mu?","Você ouviu o som feito pela letra ""c"" na palavra ""teto""?",,,
_sdivid,Divide that word into syllables.,Разделите это слово на слоги.,Teilen Sie dieses Wort in Silben.,Divida esa palabra en sílabas.,Diviser ce mot en syllabes.,تقسيم تلك الكلمة إلى المقاطع.,把这个词分成音节。,Bu kelimeyi hecelere bölün.,Divida essa palavra em sílabas.,,,
_sdtwbt2,Divide the syllables between the consonant and the last vowel.,Разделить слоги между согласными и последними гласными.,Dividieren Sie die Silben zwischen dem Konsonanten und dem letzten Vokal.,Divida las sílabas entre la consonante y la vocal pasada.,Diviser les syllabes entre la consonne et la dernière voyelle.,تقسيم المقاطع بين ساكنه وحرف العلة الأخير.,将辅音和最后一个元音之间的音节分开。,Ünsüz ve son sesli harf arasındaki heceleri bölün.,Divida as sílabas entre a consoante e a última vogal.,,,
_sdtwbt,Divide the syllables between two or more consonants which fall between two vowels.,"Разделите слоги между двумя или более согласными, которые делятся между двумя гласными.","Dividieren Sie die Silben zwischen zwei oder mehr Konsonanten, die zwischen zwei Vokale fallen.",Divida las sílabas entre dos o más consonantes que caen entre dos vocales.,Diviser les syllabes entre deux ou plusieurs consonnes qui tombent entre deux voyelles.,تقسيم المقاطع بين اثنين أو أكثر من الحروف الساكنة التي تقع بين اثنين من حرف العلة.,把两个或两个以上元音之间的音节分开。,İki sesli harfler arasında iki veya daha fazla ünsüz arasındaki heceleri bölün.,Divida as sílabas entre duas ou mais consoantes que caem entre duas vogais.,,,
_sdtwis,Divide the word into syllables.,Разделить слово на слоги.,Teilen Sie das Wort in Silben.,Divida la palabra en sílabas.,Diviser le mot en syllabes.,تقسيم الكلمة إلى المقاطع.,把这个词分成音节。,Sözcüğü hecelere bölün.,Divida a palavra em sílabas.,,,
_sdytts,Do you think they sound the same?,"Думаешь, они звучат одинаково?","Glaubst du, Sie klingen das gleiche?",¿Crees que suenen igual?,Pensez-vous qu'ils sonnent la même chose?,هل تعتقد انهم يبدون متشابهين ؟,你认为他们的声音是一样的吗？,Sence aynı sesler mi?,Acha que soam iguais?,,,
_sdywte,Do you want to exit?,Вы хотите выйти?,Möchtest du aussteigen?,¿desea salir?,Voulez-vous quitter?,هل تريد الخروج ؟,要退出吗？,Çıkmak ister misin?,Quer sair?,,,
_sdylss1,Do your letter sounds sound like mine?,Ваше письмо звучит как мой?,Hört Ihr Brief klingt wie meine?,¿tu carta suena como la mía?,Votre lettre sonne comme la mienne?,هل يبدو خطابك كصوتي ؟,你的信听起来像我的吗？,Mektubun benimki gibi geliyor mu?,Sua carta soa como a minha?,,,
_sdoest,"Does the ""e"" make a sound?","Звучит ли ""е""?","Macht das ""e"" einen Klang?","¿la ""e"" hace un sonido?","Le ""e"" fait un bruit?","هل ""اي"" تجعل الصوت ؟","""e"" 是否发出声音？","""e"" bir ses yapar mı?","O ""e"" faz um som?",,,
_sdyass,"Does your ""a"" sound sound like mine?",Твой звук звучит как мой?,"Hört ihr ""ein"" Klang wie meine?","¿suena tu ""a"" como el mío?","Ton ""a"" sonne comme le mien?",هل صوتك يبدو كالمنجم ؟,"你的 ""a"" 听起来像我的吗？","""a"" sesin benimkine benziyor mu?","O seu som de ""a"" soa como o meu?",,,
_sdwas,Don't worry about spelling it correctly.,Не беспокойтесь о правильном написании.,Don ' t machen Sie sich Sorgen um Rechtschreibung richtig.,No te preocupes por deletrearlo correctamente.,Ne vous inquiétez pas de l'épeler correctement.,لا تقلق بشان تهجئه الأمر بشكل صحيح,不要担心拼写正确。,"""t"" doğru hecelemeyi dert etme.",Não se preocupe em soletrar corretamente.,,,
_lddi,"Double dotted ""i"" (the letters).","Двойная пунктирная ""i"" (буквы).","Doppelt gepunktete ""i"" (die Buchstaben).","Doble punteado ""i"" (las letras).","Double pointillé ""i"" (les lettres).","منقطه مزدوجة ""انا"" (الحروف).","双虚线 ""i"" (字母)。","Çift noktalı ""ı"" (harfler).","Duplo pontilhado ""i"" (as letras).",,,
_lddo,"Double Dotted ""O""","Двойная пунктирная ""O""","Doppelt gepunktete ""O""","Doble punteado ""O""","Double pointillé ""O""","منقطه مزدوجة ""O""","双虚线 ""O""","Çift noktalı ""O""","Duplo pontilhado ""O""",,,
_lddy,double dotted Y,двойная пунктирная Y,doppelt gepunktete Y,doble punteado Y,double pointillé Y,Y منقطه مزدوجة,双虚线 Y,çift noktalı Y,Y pontilhado dobro,,,
_ldr,"""dr"" (the letters)","""доктор"" (буквы)","""Dr"" (die Buchstaben)","""Dr"" (las letras)","""Dr"" (les lettres)","""الدكتور"" (الرسائل)","""博士"" (字母)","""Dr"" (harfler)","""Dr"" (as letras)",,,
_lea,"""ea"" (the letters)","""EA"" (буквы)","""EA"" (die Buchstaben)","""EA"" (las letras)","""EA"" (les lettres)","""ea"" (الرسائل)","""ea"" (字母)","""EA"" (harfler)","""ea"" (as letras)",,,
_sea1,"""ea1"" (the sounds - EAT)","""еа1"" (звуки-едят)","""EA1"" (die Klänge-EAT)","""EA1"" (los sonidos-comen)","""EA1"" (les sons-EAT)","""الإنجاز المتوقع"" (الأصوات--أكل)","""ea1"" (声音吃)","""EA1"" (sesler-EAT)","""EA1"" (os sons-Eat)",,,
_sea2,"""ea2"" (the sounds - HEAD)","""еа2"" (звуки-голова)","""EA2"" (The Sounds-Head)","""EA2"" (la cabeza de los sonidos)","""EA2"" (The Sounds-Head)","""الإنجاز المتوقع"" (الأصوات الرئيسية)","""ea2"" (音头)","""EA2"" (sesler-Head)","""EA2"" (o som-Head)",,,
_sea3,"""ea3"" (the sounds - STEAK)","""еа3"" (звуки-стейк)","""EA3"" (The Sounds-Steak)","""ea3"" (los sonidos-filete)","""EA3"" (les sons-steak)","""3"" (الأصوات--ستيك)","""ea3"" (声音-牛排)","""EA3"" (sesler-biftek)","""-"" (os sons-Steak)",,,
_selmio,Each letter makes its own sound.,Каждая буква делает свой собственный звук.,Jeder Brief macht seinen eigenen Klang.,Cada letra hace su propio sonido.,Chaque lettre fait son propre son.,كل حرف يجعل الصوت الخاصة به.,每个字母都发出自己的声音。,Her mektup kendi sesini yapar.,Cada letra faz seu próprio som.,,,
_seswha,Each sound will have a keyword to help you remember it.,"Каждый звук будет иметь ключевое слово, помогающее запомнить его.","Jeder Klang wird ein Stichwort haben, um Sie daran zu erinnern.",Cada sonido tendrá una palabra clave para ayudarle a recordarlo.,Chaque son aura un mot-clé pour vous aider à vous en souvenir.,سيكون لكل صوت كلمه رئيسيه لمساعدتك علي تذكرها.,"每个声音将有一个关键字, 以帮助您记住它。",Her ses size hatırlamaya yardımcı olacak bir anahtar kelime olacaktır.,Cada som terá uma palavra-chave para ajudá-lo a lembrar.,,,
_seusha,Each unique sound has a keyword associated with it.,Каждый уникальный звук имеет связанное с ним ключевое слово.,Jeder eindeutige Klang hat ein Schlüsselwort zugeordnet.,Cada sonido único tiene una palabra clave asociada a ella.,Chaque son unique a un mot-clé qui lui est associé.,يحتوي كل صوت فريد علي كلمه أساسيه مقترنة به.,每个唯一的声音都有一个与之相关的关键词。,Her benzersiz ses ile ilişkilendirilmiş bir anahtar kelime vardır.,Cada som exclusivo tem uma palavra-chave associada a ele.,,,
_sevmmd,Each vowel makes many different sounds.,Каждая гласная имеет много разных звуков.,Jeder Vokal macht viele verschiedene Klänge.,Cada vocal hace muchos sonidos diferentes.,Chaque voyelle fait beaucoup de sons différents.,كل حرف العلة يجعل العديد من الأصوات المختلفة.,每个元音都发出许多不同的声音。,Her sesli harf çok farklı sesler yapar.,Cada vogal faz muitos sons diferentes.,,,
_lear,ear (the letters),ухо (буквы),Ohr (die Buchstaben),oreja (las letras),oreille (les lettres),الاذن (الحروف),耳朵 (信件),kulak (harfler),orelha (as letras),,,
_led,"""ed"" (the letters)","""Эд"" (буквы)","""Ed"" (die Buchstaben)","""Ed"" (las letras)","""Ed"" (les lettres)","""اد"" (الرسائل)","""ed"" (信件)","""Ed"" (harfler)","""Ed"" (as letras)",,,
_sedd,"""edd"" (the sound of /""d""/)","""ЕДД"" (звук/""d""/)","""EDD"" (der Klang von/""d""/)","""EDD"" (el sonido de/""d""/)","""EDD"" (le son de/""d""/)","""d"" (صوت/""d"")","""edd"" (音/""d""/)","""EDD"" (ses/""d""/)","""EDD"" (o som de/""d""/)",,,
_sedt,"""edt"" (the sound of /""t""/)","""EDT"" (звук/""t""/)","""EDT"" (der Klang von/""t""/)","""EDT"" (el sonido de/""t""/)","""EDT"" (le son de/""t""/)","""edt"" (صوت/""t"")","""edt"" (声音/""t""/)","""EDT"" (ses/""t""/)","""EDT"" (o som de/""t""/)",,,
_lee,"""ee"" (the letters)","""ЭЭ"" (буквы)","""ee"" (die Buchstaben)","""EE"" (las letras)","""EE"" (les lettres)","""هاء"" (الرسائل)","""ee"" (信件)","""Ee"" (harfler)","""ee"" (as letras)",,,
_see,"""ee"" (the sounds)","""ee"" (звуки)","""ee"" (die Klänge)","""EE"" (los sonidos)","""EE"" (les sons)","""ee"" (الأصوات)","""ee"" (声音)","""Ee"" (sesler)","""ee"" (os sons)",,,
_lei,"""ei"" (the letters)","""Эй"" (буквы)","""Ei"" (die Buchstaben)","""EI"" (las letras)","""EI"" (les lettres)","""الرسائل""","""ei"" (字母)","""EI"" (harfler)","""Ei"" (as letras)",,,
_leigh,"""eigh"" (the letters)","""еигх"" (буквы)","""Eigh"" (die Buchstaben)","""eigh"" (las letras)","""..."" (les lettres)","""الرسائل""","""8"" (信件)","""sekiz"" (harfler)","""8"" (as letras)",,,
_seigh,"""eigh"" (the sounds)","""еигх"" (звуки)","""Eigh"" (die Klänge)","""eigh"" (los sonidos)","""..."" (les sons)","""الأصوات""","""8"" (音)","""sekiz"" (sesler)","""8"" (os sons)",,,
_see2,"eighteen, eighteenth",Восемнадцать,"achtzehn, achtzehnten","dieciocho, decimoctavo","dix-huit, dix-huitième",ثمانيه عشر ، ثامن عشر,"十八, 第十八","on sekiz, onsekizinci","dezoito, décimo oitavo",,,
_see1,"eleven, eleventh",Одиннадцать,"Elf, elfte","once, undécimo","onze, onzième",11 ، الحادي عشر,"十一, 第十一","Onbir, onbirinci","onze, décimo primeiro",,,
_seisrw,Employ is the root word.,Использование — это корневое слово.,Beschäftigen ist das Wurzel-Wort.,Emplear es la palabra raíz.,Employer est le mot racine.,الاستخدام هو الكلمة الجذرية.,用人是根字。,İstihdam kök kelimedir.,Empregar é a palavra raiz.,,,
_len,"""en"" (the letters).","""en"" (буквы).","""en"" (die Buchstaben).","""en"" (las letras).","""en"" (les lettres).","""en"" (الحروف).","""en"" (信件)。","""en"" (harfler).","""en"" (as letras).",,,
_leng,"""eng"" (the letters)","""Заглавная"" (буквы)","""deu"" (die Buchstaben)","""ENG"" (las letras)","""ENG"" (les lettres)","""إنكلترا"" (الرسائل)","""英语"" (字母)","""ENG"" (harfler)","""ENG"" (as letras)",,,
_seng,"""eng"" (the sound)","""Главная"" (звук)","""deu"" (der Klang)","""ENG"" (el sonido)","""ENG"" (le son)","""المهندس"" (الصوت)","""英语"" (声音)","""ENG"" (ses)","""ENG"" (o som)",,,
_lenk,"""enk"" (the letters)","""Енк"" (буквы)","""ENK"" (die Buchstaben)","""Enk"" (las letras)","""enk"" (les lettres)","""اينك"" (الحروف)","""l-enk"" (信件)","""ENK"" (harfler)","""brigada"" (as letras)",,,
_senk,"""enk"" (the sound)","""Енк"" (звук)","""ENK"" (der Klang)","""Enk"" (el sonido)","""enk"" (le son)","""اينك"" (الصوت)","""l-enk"" (声音)","""ENK"" (ses)","""brigada"" (o som)",,,
_seyiya,"Enter ""Y"" if yes, and ""N"" if ""no"".","Введите ""Y"", если да, и ""N"", если ""нет"".","Geben Sie ""Y"" ein, wenn ja, und ""N"", wenn ""Nein"".","Introduzca ""y"" si es así, y ""n"" si ""no"".","Entrez ""Y"" si oui, et ""n"" si ""non"".","ادخل ""Y"" إذا كان الجواب نعم ، و ""N"" إذا كان ""لا"".","如果是, 则输入 ""Y"", 如果为 ""否"", 则为 ""N""。","Evet ve ""Hayır"" ise ""Y"" girin.","Digite ""Y"" se Sim, e ""n"" se ""não"".",,,
_seatlit,"Enter all of the letters in the ""r-controlled"" syllable.",Введите все буквы в слоге «под управлением r».,"Geben Sie alle Buchstaben in der ""r-kontrollierten"" Silbe ein.","Introduzca todas las letras en la sílaba ""r-controlada"".",Saisissez toutes les lettres de la syllabe «r-Controlled».,"ادخل كافة الأحرف في مقطع ""r-المتحكم"".","输入 ""r 控制"" 音节中的所有字母。","""r-kontrollü"" hecedeki tüm harfleri girin.","Insira todas as letras na sílaba ""r-controlled"".",,,
_seaotli,"Enter all of the letters in the syllable that contains the letter ""c"".","Введите все буквы в слоге, содержащие букву ""c"".","Geben Sie alle Buchstaben in der Silbe ein, die den Buchstaben ""c"" enthält.","Introduzca todas las letras de la sílaba que contiene la letra ""c"".",Saisissez toutes les lettres de la syllabe contenant la lettre «c».,"ادخل كل الحروف في المقطع اللفظي الذي يحتوي علي الحرف ""c"".","输入包含字母 ""c"" 的音节中的所有字母。","""c"" harfi içeren hecedeki tüm harfleri girin.","Insira todas as letras na sílaba que contém a letra ""c"".",,,
_seaotl,"Enter all of the letters in the syllable that contains the letter ""g"".","Введите все буквы в слоге, содержащие букву ""g"".","Geben Sie alle Buchstaben in der Silbe ein, die den Buchstaben ""g"" enthält.","Introduzca todas las letras en la sílaba que contiene la letra ""g"".",Saisissez toutes les lettres de la syllabe contenant la lettre «g».,"ادخل كل الحروف في المقطع اللفظي الذي يحتوي علي الحرف ""g"".","输入包含字母 ""g"" 的音节中的所有字母。","""g"" harfi içeren hecedeki tüm harfleri girin.","Insira todas as letras na sílaba que contém a letra ""g"".",,,
_setbww,"Enter the base word without the added ""s"".","Введите базовое слово без добавления ""s"".","Geben Sie das Basis-Wort ohne die hinzugefügten ""s"" ein.","Introduzca la palabra base sin la ""s"" añadida.","Entrez le mot de base sans le ""s"" ajouté.","ادخل الكلمة الاساسيه بدون الاضافه ""s"".","输入基本单词而不添加 ""s""。","Eklenen ""s"" olmadan temel kelimeyi girin.","Insira a palavra base sem o ""s"" adicionado.",,,
_setkft,Enter the keyword for that sound.,Введите ключевое слово для этого звука.,Geben Sie das Schlüsselwort für diesen Sound ein.,Escriba la palabra clave para ese sonido.,Saisissez le mot-clé pour ce son.,ادخل الكلمة الاساسيه لهذا الصوت.,输入该声音的关键字。,Bu sesin anahtar sözcüğünü girin.,Insira a palavra-chave para esse som.,,,
_setlei,"Enter the letter ""E"" if you think the vowel is ""E"".","Введите букву ""e"", если вы считаете, что гласный является ""e"".","Geben Sie den Buchstaben ""e"" ein, wenn Sie denken, dass der Vokal ""e"" ist.","Escriba la letra ""e"" Si cree que la vocal es ""e"".","Entrez la lettre ""e"" si vous pensez que la voyelle est ""e"".","ادخل الحرف ""e"" إذا كنت تعتقد ان حرف العلة هو ""e"".","如果你认为元音是 ""e"", 请输入字母 ""e""。","Harf ""e"" harfi ""e"" olduğunu düşünüyorsanız ""e"" girin.","Digite a letra ""e"" se você acha que a vogal é ""e"".",,,
_setlii,"Enter the letter ""I"" if you think the vowel is ""I"".","Введите букву ""i"", если вы считаете, что гласной является ""i"".","Geben Sie den Buchstaben ""i"" ein, wenn Sie denken, dass der Vokal ""i"" ist.","Escriba la letra ""i"" Si cree que la vocal es ""i"".","Entrez la lettre ""i"" si vous pensez que la voyelle est ""i"".","ادخل الحرف ""i"" إذا كنت تعتقد ان حرف العلة هو ""i"".","如果你认为元音是 ""i"", 请输入字母 ""i""。","Harf ""ı"" harfi harfini ""ı"" olduğunu düşünüyorsanız girin.","Digite a letra ""i"" se você acha que a vogal é ""i"".",,,
